data_sets_id,number_requirements
empty,339
942fda344b77c059f9e8c58bfd82b962d2d402c883800c22a4a5c92bad23c283,168
f51b492a9e20a280b78501d2e5117f7fac888305ae61323c0d3c1f616a29a5dd,8298
2ecfbc884639742c7288475798004285cb77ac23c463541604bc6f5edac82fb6,8
8a14a4d40af92517f7129b1cb8e5c59d21ff4d518e503c2323069f1657543786,128
5ccbb2182ba05c1f5df4bf9e6fcac5ef8c236293a566f483717a4b0b7b959588,173
b0afe148c7b34a54412da6a7355d1d9724f86cd9b361ab3c851c57e6f720e83b,42
276a4a4e92cb4d298963c161b95675e6c206cb881786c6b27747f41af993780f,6
b356712cdb45f6a3421f3ee1cb9095300e6830888ab7b35e108c7d003688a92b,161
b723ec8b1be4939082a9f6beb1f9d226f3c8b07ee2427433174a6695197bc511,161
035433e75ef36d452398c82659cdaaef504a3ec7eef7854e7c03942d5371c50c,1
8bb9516319aa4be211834401c5aa005ffb146968fe8d86ac847492c453ac3256,159
51b0ab021effdf1a79269be8a1551decb3cdf88035c84ce84e14cfa196dd3739,1820
daf3fa1ddf3dc4805fee2c2311348a835f8cf7ede157d30e3c6c2eaa3c46f6d9,3771
ebc67cda0dd2e4be19e74ceba791df01c8c80a08bc2a3592ad4ffba4a4a68645,4847
db4daccda359244b660dd3c66075a53adacf7cf89a051016c395f1c99f8605e1,515
feec8f99509750e79b7e5d0e074e24616596432743716b64b4c8cd17df146ef1,76
17ae0035c6ab0bdbe4575c10d114d27c97221d13bc9af40b4826640c3271dffc,1018
44c048e3e9c385df2f4e42f2f5ca8686445b98b652510e7b51e87563fbf16139,1022
ba4536cc852d7e266f0f62154e99e7cde8f9390fc7c2aef694b27534d729f816,16
72117e134da5af642db4c71836568d39f18fbafb2ccddd5b9775cca79ddc3aa8,63
12f0f7c60caeba97d5b1bd5442bfc2dd9869455a190c9145f42a947e4ad1fbb9,9
bb8d1212035eaf00c84112073fa82aae044c5b90d3c6bbfa83f58cf7922f089a,7
5fa7b57d31700cbe5a78c7845f08caa18a63861dbbb9291c0840e57cf8232543,11
4362b9347df66ad0938ecf4fbd616ebaab77752f94535a7839ee7464ba534189,190
b0cf931946b7466b2b1a74b3d29f91b0cea71ad797b9fdcbdab9fa3e5d00f15d,71
f0899efce007171250169337e45a4412e4dfe6b551ae6912942f188871e227e6,6
261b8eb8d04883971332aa662e214941fc246268c700e17574106640aec3be7c,6
7dbb4befaf3285719a2b236df9ef4a27dff7079679bd200d40ddd6661b24e089,175
9379264e48d9052b522299d3d8d6361227edd9ad8970f98e32bfa42d889be021,183
683d7ecee853313017930cf0a52ee9d816ed215b8c5b3e60acb36b5cc0fb837e,6
5fac47d1c6dd017255137fd5b5d1851d9cf95e2fb3335183b333b1f1e78b0dae,3
5a78a83a1e6ab242e1c7328bb2d1aed2f188aadbc38ed1a1b0179d0a154aeec0,4
e1869d0593e2392136ddb1b798b770106f8b48ee2db6d8d1a6f4e20989ae1c6f,2
b6defcf6b29c6cb92310bc9f9bd093cc024ced1ff91e41ab4d14f7bc22f620bb,1
88465996368fe23927130b4e99d0e6522700c53785bb12f7fd4c5884aba3bee0,2
b4aa7d22004ce15b03e846422a32d34bf37cb4e446ebbb4e093a5ba876405fa8,1
5d17102b3e222144a5117c41c8eb8aec9e8fa0b16c62c97c53e9ff015800d4cb,1
2fa43855c6f0a0b08b64371de077eae28b7160b8b30e536e070b02a79200d365,154
dadc639b55ea33d376dd67a6306a13d74b7eaf83a2a65a510d51d4efc7d68b0b,27
22235001eadf88e4d14c3b84fd1dafc16b8eda01e14416b3ae0d1737cd36538e,12
bd44a44ca50cec3611f0741d1cc500004852fe093d9ef938b0028127f983186e,113
db3e685ab669e8c0cb2446f40747ccc165e6b40932828781ad1182a8e42b4930,65
ed7396789a646f707b39c050e1e5aee7778cd040e76d8650156ee12b47d0bf77,65
fd02ae76fa3cd080d9f8da7138d0a2c43678766c1adae941fcae51096e334cfc,65
871ff06d0554c773f31ee55e4b68e862a8654ef2db8aa7e6896da43e1cc84ffc,65
9958be275061baa2478f6da1f31e9df7e03096a64c1c0cba31bad24bd0e3309b,65
25c3ee78a32006337b6a928f848eabf967f2290b87bda6a3b6ec7c8316d016bc,65
0918615c8f04b16ea67f05aad1b7ede138a95b0e859a5420ffc8e6b14f641d11,65
6e7154a292544863f42d5642f8a7625bde355a8f9c0c2103ad94a03992664418,10
cf133cc119f6023905f300d762b9ae5814671d9ff1626fbbf20bf76a7634c799,65
cd0ff20a6fb8208d4e5553947ab2cc3349cacfdee26af9bdc1080c9f517619a9,65
14bb304ac866562f01f9a633a72890b9cc9d8cc2a38e3457af8621c888318be6,65
ed0179e0afc5fa028df1da70a711dbe70c2ef321bf7bb6ef1a7cdd7c9c669b6c,65
39a956196a42c3e76466cecb15818cca9bee7148c2b00e4c28efa13b303b8220,102
e5078920f6966123322485452393c4c8b82f56790286d79772f694465903d91e,64
68b5728ce7ddc355fdb575d9308cdc799a84532eb17040d0fc12f222ac4b072f,1
6ef87f4dda0b274c896061d69519974792767b3a7ecfcad26c9ca98939bc8079,6
7e3d96766075702df3876d3b76f9cdc64cf308b25ab1c3d77cf2b56db2679126,64
fa58b737fb77bbc7ef4cac476c6d1e849e92f85a49b965b38c400f85664de7d6,57
76e05484f45e0d9efa703b52f362519adcecc255078569ee3b98a259f3815046,372
54596cb722f3f2d54218a97040396f3ff1f0fb0cc99cf9b8d3c0325130411de9,44
a9b311d53c73b91c099cb7659d39fbc7b43e816f4d2be22fa2e011bd3b104408,14
8ce1179550d601ce9c7d9a68972b792af16c37a4595800641db0a14e04209310,15
d464f51264314395c2ecbcdc40af43860e5ea0fdd42cb7ac7b341fe9adf3088f,4
9092a402d7abd7f9c26693e93f97a2b038477cdbd44df39b6d0fb1c9a00e6d9d,2
